"code","description","pass","critical","detail"
"V01","Portable repository structure and active code paths",TRUE,TRUE,"structure=TRUE; hard-coded user path in active code=FALSE"
"V02","Frozen Stage46 simulation design",TRUE,TRUE,"8 scenarios × 1000 replicates; N=500; 5 methods; seed base 20460000"
"V03","Exact Stage42 scenario manifest and Stage46 seed map",TRUE,TRUE,"8000 unique production seeds; exact formula PASS"
"V04","Full 8000-dataset B5G2 reproduction",TRUE,TRUE,"8000/8000; 40000/40000; 40/40 cells; frozen comparison PASS"
"V05","Frozen Stage50 primary mechanism summaries",TRUE,TRUE,"max landmark diff = 4.194959e-09"
"V06","Stage49 exploratory isolation and pre/post hash invariance",TRUE,TRUE,"documentary=TRUE; runtime isolation=TRUE; runtime Stage48-equivalent tree unchanged=TRUE; authoritative Stage48 frozen files unchanged=TRUE; Stage49 smoke technical PASS=TRUE"
"V07","Weight diagnostics and frozen truncation/normalization rules",TRUE,TRUE,"32 weighted cells; type-8 truncation; global mean-1 normalization"
"V08","Hash-locked authoritative-source integrity",TRUE,TRUE,"files=34; exact SHA256 matches=34"
"V09","Frozen Stage56 outcome-model specification",TRUE,TRUE,"ns(time,df=3)+baseline/covariates; patient id; independence; sandwich SE"
"V10","Primary real-data cohort freeze",TRUE,TRUE,"1962 patients; 2612 eyes; 18046 post-baseline visits; 650 bilateral patients"
"V11","Stage56 visit models, history rules, and leakage audit",TRUE,TRUE,"Stage56 final audit PASS; visit audit present/PASS"
"V12","Primary day-365 real-data estimates M8-M11",TRUE,TRUE,"M8=5.012385; M9=5.107116; M10=5.145215; M11=5.136150"
"V13","Prespecified real-data sensitivity evidence",TRUE,TRUE,"730-day, mild-truncation, and untruncated evidence PASS"
"V14","Publication tables regenerate without manual transcription",TRUE,TRUE,"pipeline=TRUE; tables present=10/10"
"V15","Main Figures 1-3 regenerate and are non-empty",TRUE,TRUE,"figures present=6/6"
"V16","Dryad provenance and non-redistribution rule",TRUE,TRUE,"exact DOI/file documented; data/raw ignored by Git"
"V17","Simulation and final release sessionInfo capture",TRUE,TRUE,"simulation session=TRUE; release session=TRUE"
"V18","Serial versus 4-worker scientific equivalence",TRUE,TRUE,"scientific outputs equivalent at tolerance 1e-12; source=B5G1_RUNTIME_PATCH_EQUIVALENCE.csv; runtime_seconds excluded as non-scientific wall-clock field"
"V19","Publication-branch hygiene and confirmatory/exploratory separation",TRUE,TRUE,"deprecated branch excluded; evidence hierarchy explicit"
"V20","Aggregate reproducibility release gate",TRUE,TRUE,"all V01-V19 critical checks PASS"
