"component","frozen_implementation"
"stage55_freeze","stage55_realdata_application_design_freeze.rds"
"analysis_horizon","0-365 days"
"eligible_eye_rule","At least one post-baseline VA visit within days 1-365"
"shared_visit_rule","Both eligible eyes observed for the patient on identical follow_up_days"
"shared_only_rule","Bilateral patient whose every observed post-baseline row in days 1-365 is shared; otherwise bilateral hybrid"
"M9_architecture","Single eye-day observed-event process"
"M10_architecture","Separate eye-specific versus shared-event stabilized weights assigned by observed visit type"
"M11_architecture","Combined probability: unilateral=eye; shared-only=shared; hybrid=P(shared)+(1-P(shared))*P(eye)"
"stabilization","Numerator excludes predictable time-varying history; denominator includes it"
"truncation","1st-99th percentile, quantile type 8"
"normalization","Global mean normalization, Stage 41 rule"
"outcome_formula","va ~ ns(follow_up_days/365.25, df=3) + baseline_va + gender + baseline_age + ethnicity"
"outcome_cluster","patient_id / anon_id"
"outcome_correlation","independence"
"variance","robust sandwich (san.se)"
"primary_estimand","Adjusted marginal VA day365 minus observed mean baseline VA"
"causal_interpretation","PROHIBITED"
"M12","NOT FITTED; oracle visit probabilities unavailable"
